"adaboost"	"C5"	"glmnet"	"kknn"	"lda"	"LogitBoost"	"mlp"	"naive_bayes"	"ranger"	"svmLinear2"	"treebag"	"xgbLinear"
0.896367	0.5996822	0.5	0.6748172	0.8015362	0.8278316	0.9255748	0.9759462	0.9311038	0.7958268	0.9074754	0.9307064
0.6672826	0.6123644	0.5	0.709638	0.8642242	0.5970404	0.8936604	0.8987984	0.9159776	0.7591166	0.7765398	0.910022
0.5628674	0.519364	0.5195042	0.5636952	0.694827	0.5172918	0.8216388	0.8116022	0.784341	0.544474	0.6274044	0.7992684
0.9152578	0.677187	0.5	0.7433514	0.9525922	0.8458314	0.9555134	0.9647772	0.9724402	0.8080788	0.8853202	0.9707426
0.886281	0.6959896	0.5	0.7340138	0.9698396	0.8951	0.9879572	0.9688026	0.9840256	0.8476806	0.8749064	0.9826468
0.963786	0.5	0.5	0.6663278	0.9313436	0.9282078	0.9969922	0.9765206	0.99623	0.988604	0.7992588	0.9619858
0.9137112	0.674174	0.5	0.591407	0.9440032	0.9006326	0.9887454	0.967855	0.9708128	0.8815296	0.8156232	0.9432436
0.6717584	0.5241648	0.5128222	0.5639548	0.7605994	0.5071052	0.9213838	0.907953	0.8185582	0.5600062	0.6394784	0.8738026
0.730875	0.5	0.5	0.5830818	0.8716996	0.588443	0.8660652	0.9000898	0.8203778	0.8298764	0.601624	0.7579608
0.9080162	0.6786622	0.5	0.790183	0.9058434	0.7276758	0.9399344	0.9555688	0.9567358	0.8359066	0.8591254	0.9295882
0.8660228	0.6258098	0.5	0.7334376	0.892004	0.6148104	0.9366272	0.9613852	0.9432848	0.7028952	0.7738408	0.9711242
0.9494284	0.5	0.5	0.7999524	0.9985706	0.9495552	0.9995552	0.985008	0.999841	0.9973006	0.9497936	0.9997458
0.8527456	0.6074834	0.5	0.4994278	0.8387942	0.8374108	0.931979	0.947461	0.9095088	0.5976124	0.7312174	0.8957624
0.9606196	0.5	0.5	0.616058	0.9949804	0.9655284	0.9976914	0.979001	0.9977338	0.9986972	0.8155334	0.997903
0.817782	0.7332592	0.5	0.6948418	0.817113	0.7083598	0.8287888	0.8328576	0.8706868	0.802435	0.8370966	0.8534206
0.6434982	0.5949062	0.5	0.6272876	0.7599508	0.5686888	0.7881062	0.8577036	0.7964434	0.5891534	0.6998402	0.8295432
0.8434614	0.5830144	0.5	0.6635762	0.9507324	0.7726992	0.9254132	0.9606394	0.9473572	0.6676556	0.7342584	0.9288204
0.8962336	0.6990704	0.5	0.699523	0.8972982	0.8974892	0.9452642	0.9722604	0.945836	0.8433098	0.798673	0.9407508
0.6591684	0.5	0.5	0.518264	0.5891816	0.5238642	0.7275422	0.7542228	0.6485538	0.5404302	0.5166806	0.651767
0.7890784	0.6877746	0.5	0.659508	0.8129428	0.6896744	0.8034284	0.8183572	0.8593604	0.7754484	0.8211306	0.836213
0.7993404	0.7228584	0.5	0.6876902	0.8164428	0.6923936	0.822979	0.8270402	0.86537	0.789013	0.8294922	0.8461148
0.7767028	0.691906	0.5	0.7254988	0.8375744	0.7065096	0.836884	0.8646228	0.881038	0.6991572	0.8293638	0.8790504
0.8512016	0.6326138	0.5	0.7227826	0.906824	0.7802734	0.9406182	0.9399096	0.895431	0.8187068	0.812442	0.8999438
0.9232548	0.7412932	0.5	0.7495656	0.991309	0.910507	0.994831	0.9746016	0.9739752	0.7483424	0.8908402	0.9719514
0.6660472	0.5156942	0.5198436	0.5904594	0.798654	0.5836786	0.8659048	0.9013226	0.8421918	0.5921262	0.6811612	0.8572208
0.8015498	0.6393802	0.5	0.5198728	0.892417	0.5110538	0.8597426	0.8529662	0.8465056	0.7589548	0.6883218	0.7670444
0.7885314	0.6587146	0.5	0.758013	0.8784308	0.7359058	0.89078	0.9188422	0.9182166	0.791858	0.8706222	0.9268532
0.6198968	0.5	0.5	0.5681118	0.6835504	0.4725224	0.880394	0.9020488	0.693182	0.4765002	0.6161268	0.7116054
0.7615022	0.6428464	0.5	0.6999384	0.8018706	0.668301	0.7870786	0.8226002	0.8539096	0.708935	0.7942558	0.8334414
0.693615	0.610526	0.5	0.6393886	0.8333158	0.6200062	0.8395388	0.9303926	0.9141388	0.6795608	0.7835176	0.9098174
0.8953618	0.5	0.5	0.59982	0.884305	0.8399458	0.9415884	0.9190746	0.9275616	0.9378714	0.7156236	0.9239824
0.5628674	0.519364	0.5195042	0.5636952	0.694827	0.5172918	0.8216388	0.8116022	0.784341	0.544474	0.6274044	0.7992684
0.7309504	0.678338	0.5	0.718392	0.8821854	0.7327988	0.9184074	0.922755	0.8874154	0.6855046	0.7872872	0.9139134
0.6831334	0.6246104	0.5237608	0.5738876	0.7678076	0.5215954	0.9444994	0.926653	0.7860034	0.4107374	0.697688	0.8870094
0.554993	0.5	0.5	0.4997774	0.7698962	0.4115528	0.8901216	0.8783064	0.6568832	0.7238334	0.5821106	0.692753
0.7281316	0.499841	0.5	0.6649176	0.8261952	0.5652856	0.8580518	0.891848	0.8755018	0.4992288	0.7474134	0.9170504
0.5801134	0.5	0.5	0.5831798	0.7337408	0.4356262	0.8592942	0.8468598	0.850786	0.776818	0.5823432	0.749458
0.6125262	0.5172696	0.5	0.592237	0.653239	0.6488458	0.747676	0.8101464	0.7391372	0.5262714	0.6506456	0.7636528
0.6599588	0.5	0.5	0.6331164	0.6402582	0.6006142	0.6794896	0.7302574	0.666561	0.6497456	0.6656076	0.6485494
0.7320902	0.5673764	0.5	0.623437	0.7934322	0.672805	0.804169	0.8604092	0.777908	0.6352634	0.701236	0.8175096
0.635303	0.5	0.5	0.5830792	0.8442928	0.388421	0.9287696	0.92644	0.7311836	0.5161586	0.6155602	0.8364148
0.7471774	0.6182228	0.5	0.7260392	0.8454032	0.7366042	0.9035736	0.9462444	0.9205376	0.7619828	0.819064	0.9363138
0.8676814	0.660757	0.5	0.7567492	0.903779	0.8760998	0.9373436	0.9584536	0.932573	0.877557	0.8851488	0.9560356
0.899968	0.5	0.5	0.9499682	1	0.9999788	1	0.9967278	1	1	0.9666348	0.999947
0.899124	0.623307	0.5	0.6958686	0.8864968	0.6427828	0.9060052	0.9619372	0.9496666	0.7610742	0.8367932	0.9701248
0.5809934	0.4998088	0.5	0.544256	0.7067	0.452592	0.7741806	0.8156008	0.7088624	0.5315146	0.5909044	0.7424396
0.823764	0.7182122	0.5	0.806728	0.9336568	0.8663524	0.9358044	0.9397476	0.9274018	0.8858204	0.8860448	0.940631
0.85	0.5	0.5	0.8	0.9499046	0.9999524	0.9999682	0.9919954	1	0.9997458	0.95	0.9995712
0.8518894	0.6068156	0.5	0.721249	0.9193814	0.7545806	0.9495778	0.94894	0.9043622	0.8170392	0.816768	0.9474826
0.9486308	0.5757732	0.6747696	0.7165238	0.8466226	0.8423992	0.9792872	0.949982	0.9991498	0.9882262	0.8744702	0.9469334
0.8960964	0.7665874	0.5	0.7327666	0.896645	0.7686842	0.9165446	0.965795	0.8954366	0.3720482	0.7989646	0.9172824
0.8457222	0.5	0.5	0.7491634	0.8642416	0.7063482	0.9727234	0.969997	0.7950338	0.8398244	0.7487028	0.8460188
0.67519	0.5646514	0.5	0.6791092	0.7988112	0.6664798	0.730153	0.8298622	0.826987	0.5492066	0.759353	0.8058822
0.6152336	0.4999044	0.5094332	0.5566214	0.701891	0.5381166	0.8842296	0.8868332	0.7154832	0.5251808	0.613571	0.8472146
0.7621276	0.6234128	0.5	0.6944192	0.8908636	0.5877932	0.7998688	0.896202	0.8776078	0.4228886	0.8257536	0.8481912
0.764026	0.6090384	0.599253	0.5692924	0.9678784	0.685011	0.9774284	0.9700032	0.8967994	0.3985154	0.6985266	0.9400634
0.7449278	0.5	0.5	0.59946	0.9207382	0.7161532	0.9708174	0.9709814	0.8609806	0.6068086	0.7488722	0.8566442
0.8426344	0.5	0.5	0.5332064	0.850008	0.7724456	0.8020348	0.8739418	0.8762484	0.7771994	0.7815382	0.8734048
0.8520572	0.7280204	0.5	0.8394598	0.9047158	0.8493232	0.9166142	0.943268	0.9247412	0.8347546	0.9094798	0.921178
0.9475924	0.574857	0.5	0.8236094	0.8536716	0.8932468	0.994374	0.9889238	0.9481248	0.9454552	0.8982758	0.9473696
0.7494268	0.629398	0.5	0.7079278	0.8100108	0.7194838	0.8680274	0.9281772	0.8833796	0.7086902	0.7877968	0.8666596
0.8574056	0.5	0.5	0.5662962	0.7255712	0.483198	0.9505544	0.9642578	0.8910728	0.795457	0.6813372	0.8847084
0.7232408	0.5	0.5	0.5659994	0.7657584	0.538734	0.8848106	0.9435732	0.7877682	0.697934	0.6312366	0.7462904
0.6980032	0.5134496	0.5	0.5425752	0.6905278	0.725641	0.8161034	0.8982098	0.831016	0.3638942	0.5536324	0.8226272
0.8454354	0.5643514	0.5	0.6793754	0.9340924	0.6983056	0.9644468	0.9411794	0.97209	0.7624952	0.9136378	0.9249204
0.7300186	0.5836442	0.5	0.6886904	0.8187456	0.7219242	0.8088814	0.8647414	0.8748332	0.7334594	0.7759228	0.8469078
0.919157	0.721074	0.5	0.7937268	0.9409444	0.7832756	0.9515384	0.966307	0.9438574	0.7429458	0.883754	0.9672882
0.8605498	0.7096084	0.5	0.7793658	0.9020548	0.8558168	0.9465354	0.9582444	0.9375266	0.8857858	0.8847738	0.9630424
0.6971198	0.6357372	0.5	0.681061	0.7957236	0.63958	0.7795296	0.8408858	0.8418504	0.6203198	0.7714884	0.824051
0.5322314	0.4989158	0.5105018	0.5264784	0.7594726	0.5904278	0.77009	0.8571318	0.7030156	0.579737	0.5696388	0.7481056
0.644158	0.5	0.5	0.5790684	0.6996964	0.656152	0.8774736	0.8964832	0.785294	0.614669	0.5289282	0.7539116
0.5534798	0.5291274	0.5	0.545658	0.6809926	0.6097186	0.7712542	0.8147874	0.6928126	0.589675	0.5906384	0.7620448
0.7409408	0.5	0.5	0.6327458	0.7254348	0.657874	0.8306406	0.9033136	0.803039	0.6025306	0.7154276	0.8549336
0.74056	0.5	0.5	0.5832062	0.7532612	0.5370872	0.9175772	0.9055698	0.7689696	0.6565968	0.6990946	0.8018056
0.7948548	0.5	0.5	0.5496824	0.9521362	0.8871068	0.9524908	0.95895	0.8436636	0.6663352	0.5992694	0.7911702
0.943004	0.7915844	0.5	0.7332078	0.8880088	0.8290902	0.9214934	0.9786336	0.9637054	0.6529352	0.8866436	0.9490322
0.9208312	0.781234	0.5	0.8009132	0.908424	0.7620378	0.912149	0.9782808	0.9736122	0.7946672	0.8933542	0.948892
0.6867474	0.6354658	0.5	0.657536	0.7927194	0.598312	0.810232	0.8544772	0.8605706	0.6873422	0.7500642	0.844295
0.8592336	0.5	0.5	0.5999364	0.5793844	0.7462214	0.9239942	0.9824878	0.9460666	0.9856114	0.5986024	0.956931
0.896538	0.5	0.5	0.5999682	0.682911	0.8877874	0.9574974	0.9786232	0.9974748	0.8891366	0.6493966	0.9456006
0.815313	0.5328354	0.5	0.5990574	0.83708	0.6822042	0.9551314	0.9626934	0.8536932	0.7772582	0.639866	0.8979914
0.7689366	0.5798888	0.5	0.5496266	0.9305848	0.5919802	0.952961	0.9524776	0.9554672	0.6817372	0.8030928	0.9476986
0.7754614	0.5	0.5	0.5495554	0.7890118	0.5152284	0.9271882	0.9420222	0.8516528	0.7463326	0.5979036	0.854633
0.7601488	0.5557248	0.5	0.6207032	0.8298378	0.6745006	0.8024288	0.896498	0.8629126	0.7208982	0.7762722	0.8697894
0.546778	0.5075954	0.5	0.6280126	0.6096986	0.6044606	0.7957312	0.8782126	0.8133554	0.5356008	0.6595956	0.8238064
0.8253318	0.6769808	0.5	0.767826	0.9385408	0.8249376	0.951716	0.9465064	0.929246	0.8723186	0.8776652	0.9447474
0.8634662	0.6253214	0.5	0.6543062	0.9311114	0.736361	0.9221522	0.961474	0.940093	0.574008	0.7864662	0.930974
0.6326244	0.5376126	0.5	0.6564852	0.8304512	0.6614278	0.8644358	0.8645482	0.7872032	0.7382594	0.7126318	0.7757282
0.656544	0.5	0.5	0.55	0.89549	0.555447	0.8949698	0.9117238	0.8579698	0.538007	0.6493808	0.8927738
0.5477206	0.4805164	0.5	0.441374	0.7425848	0.596657	0.7457208	0.851958	0.680084	0.5018638	0.6140178	0.7608234
0.581518	0.4996498	0.5	0.5337154	0.7104034	0.518281	0.89042	0.8747332	0.7456548	0.5730342	0.561454	0.7885694
0.6904416	0.524706	0.5	0.5839604	0.648659	0.7081008	0.8467292	0.8847632	0.7416402	0.5237412	0.6077414	0.8293978
0.783423	0.5	0.5	0.5590718	0.6734878	0.5611948	0.9041364	0.9017632	0.7781082	0.6545182	0.576611	0.776633
0.8404636	0.5	0.5	0.6162324	0.8119586	0.6763024	0.771314	0.9238158	0.8404108	0.896777	0.665385	0.8617302
0.6858468	0.619263	0.5	0.6910966	0.8419932	0.6872846	0.8667018	0.8868784	0.88255	0.7570272	0.814412	0.8741316
0.8967316	0.6602418	0.5	0.779491	0.9217548	0.8271486	0.9862912	0.9814012	0.9546142	0.8317096	0.8586456	0.9325094
0.9634578	0.5	0.5	0.6164654	0.9237446	0.927631	0.9927466	0.9821194	0.9139662	0.8588684	0.849497	0.9148452
0.6577672	0.5	0.5	0.4995234	0.5794074	0.6123584	0.8691454	0.8641904	0.6857324	0.6651106	0.5314064	0.6978514
0.9227734	0.8349546	0.5	0.8374076	0.9349692	0.9058734	0.9273918	0.978728	0.9643914	0.8378398	0.8651628	0.9661976
0.6547316	0.5	0.6595276	0.6662854	0.8669696	0.7595946	0.8832672	0.8892916	0.756384	0.61947	0.7650198	0.782135
0.879299	0.5	0.5	0.666476	0.8584282	0.7655288	0.923602	0.9033024	0.9449592	0.9263434	0.765756	0.9090794
0.658484	0.6202754	0.5	0.7053462	0.8732278	0.7123852	0.8632192	0.8949266	0.8137682	0.8425976	0.7579672	0.8337282
0.6013514	0.5720284	0.5	0.6654998	0.8169474	0.5606446	0.782161	0.8510076	0.84777	0.6887636	0.7398584	0.862006
0.658484	0.6202754	0.5	0.7053462	0.8732278	0.7123852	0.8632192	0.8949266	0.8137682	0.8425976	0.7579672	0.8337282
0.6139672	0.6027136	0.5	0.65643	0.8056198	0.5897014	0.78653	0.8632138	0.8490392	0.701612	0.7626262	0.8619918
0.7457232	0.677541	0.5	0.681452	0.857811	0.7209482	0.8594508	0.8851754	0.8773032	0.7701884	0.8237338	0.8704632
0.5639424	0.4997456	0.5	0.5881302	0.7443914	0.639788	0.8279222	0.8832612	0.6898026	0.4814342	0.6572368	0.7896142
0.635303	0.5	0.5	0.5830792	0.8442928	0.388421	0.9287696	0.92644	0.7311836	0.5161586	0.6155602	0.8364148
0.8583488	0.5	0.5	0.5997458	0.688024	0.9119386	0.9659254	0.9677032	0.8579204	0.6023082	0.6480304	0.919207
0.8583488	0.5	0.5	0.5997458	0.688024	0.9119386	0.9659254	0.9677032	0.8579204	0.6023082	0.6480304	0.919207
